date,symbol,price
2010-02-01,GOOG,265.5
2010-03-01,GOOG,265.2
2010-04-01,GOOG,283.2
2010-05-01,GOOG,264.2
2010-06-01,GOOG,240.2
2010-07-01,GOOG,218.9
2010-08-01,GOOG,244.2
2010-09-01,GOOG,229.2
2010-10-01,GOOG,261.8
2010-11-01,GOOG,306.2
2010-12-01,GOOG,281.0
2011-01-01,GOOG,301.0
2011-02-01,GOOG,304.5
2011-03-01,GOOG,299.2
2011-04-01,GOOG,294.8
2011-05-01,GOOG,268.2
2011-06-01,GOOG,261.8
2011-07-01,GOOG,259.5
2011-08-01,GOOG,302.2
2011-09-01,GOOG,265.2
2011-10-01,GOOG,246.9
2011-11-01,GOOG,288.2
2011-12-01,GOOG,305.8
2012-01-01,GOOG,331.5
2012-02-01,GOOG,289.2
2012-03-01,GOOG,310.0
2012-04-01,GOOG,322.2
2012-05-01,GOOG,301.0
2012-06-01,GOOG,284.5
2012-07-01,GOOG,289.2
2012-08-01,GOOG,315.2
2012-09-01,GOOG,339.2
2012-10-01,GOOG,379.5
2012-11-01,GOOG,342.5
2012-12-01,GOOG,346.2
2013-01-01,GOOG,360.2
2013-02-01,GOOG,386.2
2013-03-01,GOOG,401.5
2013-04-01,GOOG,399.0
2013-05-01,GOOG,408.8
2013-06-01,GOOG,432.2
2013-07-01,GOOG,442.2
2013-08-01,GOOG,450.5
2013-09-01,GOOG,428.5
2013-10-01,GOOG,441.8
2013-11-01,GOOG,511.5
2013-12-01,GOOG,525.5
2014-01-01,GOOG,554.5
2014-02-01,GOOG,564.5
2014-03-01,GOOG,599.0
2014-04-01,GOOG,565.5
2014-05-01,GOOG,530.0
2014-06-01,GOOG,552.5
2014-07-01,GOOG,581.0
2014-08-01,GOOG,564.5
2014-09-01,GOOG,575.5
2014-10-01,GOOG,566.5
2014-11-01,GOOG,553.5
2014-12-01,GOOG,532.5
2015-01-01,GOOG,523.5
2015-02-01,GOOG,527.0
2015-03-01,GOOG,570.0
2015-04-01,GOOG,541.0
2015-05-01,GOOG,538.0
2015-06-01,GOOG,534.0
2015-07-01,GOOG,522.0
2015-08-01,GOOG,631.0
2015-09-01,GOOG,598.0
2015-10-01,GOOG,611.5
2015-11-01,GOOG,721.0
2015-12-01,GOOG,767.0
2016-01-01,GOOG,742.0
2016-02-01,GOOG,752.0
2016-03-01,GOOG,719.0
2016-04-01,GOOG,750.0
2016-05-01,GOOG,698.0
2016-06-01,GOOG,734.0
2016-07-01,GOOG,699.0
2016-08-01,GOOG,773.0
2016-09-01,GOOG,769.0
2016-10-01,GOOG,772.5
2016-11-01,GOOG,783.5
2016-12-01,GOOG,748.0
2017-01-01,GOOG,786.0
2017-02-01,GOOG,795.5
2017-03-01,GOOG,835.0
2017-04-01,GOOG,838.5
2017-05-01,GOOG,912.5
2017-06-01,GOOG,967.0
2017-07-01,GOOG,898.5
2017-08-01,GOOG,931.0
2017-09-01,GOOG,937.5
2017-10-01,GOOG,953.5
2017-11-01,GOOG,1026.0
2017-12-01,GOOG,1010.0
2018-01-01,GOOG,1065.0
2018-02-01,GOOG,1168.0
2018-03-01,GOOG,1070.0
2018-04-01,GOOG,1006.5
2018-05-01,GOOG,1037.0
2018-06-01,GOOG,1120.0
2018-07-01,GOOG,1127.0
2018-08-01,GOOG,1220.0
2018-09-01,GOOG,1197.0
2018-10-01,GOOG,1195.0
2018-11-01,GOOG,1070.0
2018-12-01,GOOG,1106.0
2019-01-01,GOOG,1046.0
2019-02-01,GOOG,1111.0
2019-03-01,GOOG,1141.0
2019-04-01,GOOG,1194.0
2019-05-01,GOOG,1168.0
2019-06-01,GOOG,1036.0
2019-07-01,GOOG,1098.0
2019-08-01,GOOG,1209.0
2019-09-01,GOOG,1168.0
2019-10-01,GOOG,1205.0
2019-11-01,GOOG,1274.0
2019-12-01,GOOG,1290.0
2020-01-01,GOOG,1367.0
2020-02-01,GOOG,1486.0
2020-03-01,GOOG,1389.0
2020-04-01,GOOG,1106.0
2020-05-01,GOOG,1321.0
2020-06-01,GOOG,1432.0
2020-07-01,GOOG,1438.0
2020-08-01,GOOG,1474.0
2020-09-01,GOOG,1661.0
2020-10-01,GOOG,1490.0
2020-11-01,GOOG,1626.0
2020-12-01,GOOG,1798.0
2021-01-01,GOOG,1728.0
2021-02-01,GOOG,1901.0
2021-03-01,GOOG,2082.0
2021-04-01,GOOG,2138.0
2021-05-01,GOOG,2396.0
2021-06-01,GOOG,2430.0
2021-07-01,GOOG,2528.0
2021-08-01,GOOG,2720.0
2021-09-01,GOOG,2916.0
2021-10-01,GOOG,2730.0
2010-01-01,MSFT,30.95
2010-02-01,MSFT,28.4
2010-03-01,MSFT,29.02
2010-04-01,MSFT,29.16
2010-05-01,MSFT,30.86
2010-06-01,MSFT,25.89
2010-07-01,MSFT,23.16
2010-08-01,MSFT,26.33
2010-09-01,MSFT,23.9
2010-10-01,MSFT,24.38
2010-11-01,MSFT,26.95
2010-12-01,MSFT,26.05
2011-01-01,MSFT,27.98
2011-02-01,MSFT,27.98
2011-03-01,MSFT,26.16
2011-04-01,MSFT,25.48
2011-05-01,MSFT,25.66
2011-06-01,MSFT,24.44
2011-07-01,MSFT,26.02
2011-08-01,MSFT,27.27
2011-09-01,MSFT,26.2
2011-10-01,MSFT,24.53
2011-11-01,MSFT,25.98
2011-12-01,MSFT,25.28
2012-01-01,MSFT,26.77
2012-02-01,MSFT,29.89
2012-03-01,MSFT,32.28
2012-04-01,MSFT,32.28
2012-05-01,MSFT,32.0
2012-06-01,MSFT,28.45
2012-07-01,MSFT,30.56
2012-08-01,MSFT,29.4
2012-09-01,MSFT,30.39
2012-10-01,MSFT,29.48
2012-11-01,MSFT,29.52
2012-12-01,MSFT,26.44
2013-01-01,MSFT,27.62
2013-02-01,MSFT,27.94
2013-03-01,MSFT,27.95
2013-04-01,MSFT,28.61
2013-05-01,MSFT,32.72
2013-06-01,MSFT,35.6
2013-07-01,MSFT,34.38
2013-08-01,MSFT,31.67
2013-09-01,MSFT,31.88
2013-10-01,MSFT,33.6
2013-11-01,MSFT,35.53
2013-12-01,MSFT,38.44
2014-01-01,MSFT,37.16
2014-02-01,MSFT,36.47
2014-03-01,MSFT,37.78
2014-04-01,MSFT,41.4
2014-05-01,MSFT,40.0
2014-06-01,MSFT,40.78
2014-07-01,MSFT,41.88
2014-08-01,MSFT,42.88
2014-09-01,MSFT,45.1
2014-10-01,MSFT,45.9
2014-11-01,MSFT,47.44
2014-12-01,MSFT,48.62
2015-01-01,MSFT,46.75
2015-02-01,MSFT,41.28
2015-03-01,MSFT,43.88
2015-04-01,MSFT,40.72
2015-05-01,MSFT,48.66
2015-06-01,MSFT,47.22
2015-07-01,MSFT,44.44
2015-08-01,MSFT,46.8
2015-09-01,MSFT,41.8
2015-10-01,MSFT,44.62
2015-11-01,MSFT,53.25
2015-12-01,MSFT,55.22
2016-01-01,MSFT,54.8
2016-02-01,MSFT,54.72
2016-03-01,MSFT,52.6
2016-04-01,MSFT,55.56
2016-05-01,MSFT,50.62
2016-06-01,MSFT,52.84
2016-07-01,MSFT,51.16
2016-08-01,MSFT,56.6
2016-09-01,MSFT,57.6
2016-10-01,MSFT,57.4
2016-11-01,MSFT,59.8
